terms,titles,abstracts
"['stat.ML', 'stat.TH']",Learning Some Popular Gaussian Graphical Models without Condition Number Bounds,"Gaussian Graphical Models (GGMs) have wide-ranging applications in machine
learning and the natural and social sciences. In most of the settings in which
they are applied, the number of observed samples is much smaller than the
dimension and they are assumed to be sparse. While there are a variety of
algorithms (e.g. Graphical Lasso, CLIME) that provably recover the graph
structure with a logarithmic number of samples, they assume various conditions
that require the precision matrix to be in some sense well-conditioned.
  Here we give the first polynomial-time algorithms for learning attractive
GGMs and walk-summable GGMs with a logarithmic number of samples without any
such assumptions. In particular, our algorithms can tolerate strong
dependencies among the variables. Our result for structure recovery in
walk-summable GGMs is derived from a more general result for efficient sparse
linear regression in walk-summable models without any norm dependencies. We
complement our results with experiments showing that many existing algorithms
fail even in some simple settings where there are long dependency chains,
whereas ours do not."
['stat.ML'],Solving NP-Hard Problems on Graphs with Extended AlphaGo Zero,"There have been increasing challenges to solve combinatorial optimization
problems by machine learning. Khalil et al. proposed an end-to-end
reinforcement learning framework, S2V-DQN, which automatically learns graph
embeddings to construct solutions to a wide range of problems. To improve the
generalization ability of their Q-learning method, we propose a novel learning
strategy based on AlphaGo Zero which is a Go engine that achieved a superhuman
level without the domain knowledge of the game. Our framework is redesigned for
combinatorial problems, where the final reward might take any real number
instead of a binary response, win/lose. In experiments conducted for five kinds
of NP-hard problems including {\sc MinimumVertexCover} and {\sc MaxCut}, our
method is shown to generalize better to various graphs than S2V-DQN.
Furthermore, our method can be combined with recently-developed graph neural
network (GNN) models such as the \emph{Graph Isomorphism Network}, resulting in
even better performance. This experiment also gives an interesting insight into
a suitable choice of GNN models for each task."
['stat.ML'],Neural Operator: Graph Kernel Network for Partial Differential Equations,"The classical development of neural networks has been primarily for mappings
between a finite-dimensional Euclidean space and a set of classes, or between
two finite-dimensional Euclidean spaces. The purpose of this work is to
generalize neural networks so that they can learn mappings between
infinite-dimensional spaces (operators). The key innovation in our work is that
a single set of network parameters, within a carefully designed network
architecture, may be used to describe mappings between infinite-dimensional
spaces and between different finite-dimensional approximations of those spaces.
We formulate approximation of the infinite-dimensional mapping by composing
nonlinear activation functions and a class of integral operators. The kernel
integration is computed by message passing on graph networks. This approach has
substantial practical consequences which we will illustrate in the context of
mappings between input data to partial differential equations (PDEs) and their
solutions. In this context, such learned networks can generalize among
different approximation methods for the PDE (such as finite difference or
finite element methods) and among approximations corresponding to different
underlying levels of resolution and discretization. Experiments confirm that
the proposed graph kernel network does have the desired properties and show
competitive performance compared to the state of the art solvers."
['stat.ML'],Directional Message Passing for Molecular Graphs,"Graph neural networks have recently achieved great successes in predicting
quantum mechanical properties of molecules. These models represent a molecule
as a graph using only the distance between atoms (nodes). They do not, however,
consider the spatial direction from one atom to another, despite directional
information playing a central role in empirical potentials for molecules, e.g.
in angular potentials. To alleviate this limitation we propose directional
message passing, in which we embed the messages passed between atoms instead of
the atoms themselves. Each message is associated with a direction in coordinate
space. These directional message embeddings are rotationally equivariant since
the associated directions rotate with the molecule. We propose a message
passing scheme analogous to belief propagation, which uses the directional
information by transforming messages based on the angle between them.
Additionally, we use spherical Bessel functions and spherical harmonics to
construct theoretically well-founded, orthogonal representations that achieve
better performance than the currently prevalent Gaussian radial basis
representations while using fewer than 1/4 of the parameters. We leverage these
innovations to construct the directional message passing neural network
(DimeNet). DimeNet outperforms previous GNNs on average by 76% on MD17 and by
31% on QM9. Our implementation is available online."
['stat.ML'],Factorized Graph Representations for Semi-Supervised Learning from Sparse Data,"Node classification is an important problem in graph data management. It is
commonly solved by various label propagation methods that work iteratively
starting from a few labeled seed nodes. For graphs with arbitrary
compatibilities between classes, these methods crucially depend on knowing the
compatibility matrix that must be provided by either domain experts or
heuristics. Can we instead directly estimate the correct compatibilities from a
sparsely labeled graph in a principled and scalable way? We answer this
question affirmatively and suggest a method called distant compatibility
estimation that works even on extremely sparsely labeled graphs (e.g., 1 in
10,000 nodes is labeled) in a fraction of the time it later takes to label the
remaining nodes. Our approach first creates multiple factorized graph
representations (with size independent of the graph) and then performs
estimation on these smaller graph sketches. We define algebraic amplification
as the more general idea of leveraging algebraic properties of an algorithm's
update equations to amplify sparse signals. We show that our estimator is by
orders of magnitude faster than an alternative approach and that the end-to-end
classification accuracy is comparable to using gold standard compatibilities.
This makes it a cheap preprocessing step for any existing label propagation
method and removes the current dependence on heuristics."
['stat.ML'],Cross-GCN: Enhancing Graph Convolutional Network with $k$-Order Feature Interactions,"Graph Convolutional Network (GCN) is an emerging technique that performs
learning and reasoning on graph data. It operates feature learning on the graph
structure, through aggregating the features of the neighbor nodes to obtain the
embedding of each target node. Owing to the strong representation power, recent
research shows that GCN achieves state-of-the-art performance on several tasks
such as recommendation and linked document classification.
  Despite its effectiveness, we argue that existing designs of GCN forgo
modeling cross features, making GCN less effective for tasks or data where
cross features are important. Although neural network can approximate any
continuous function, including the multiplication operator for modeling feature
crosses, it can be rather inefficient to do so (i.e., wasting many parameters
at the risk of overfitting) if there is no explicit design.
  To this end, we design a new operator named Cross-feature Graph Convolution,
which explicitly models the arbitrary-order cross features with complexity
linear to feature dimension and order size. We term our proposed architecture
as Cross-GCN, and conduct experiments on three graphs to validate its
effectiveness. Extensive analysis validates the utility of explicitly modeling
cross features in GCN, especially for feature learning at lower layers."
['stat.ML'],"Convolution, attention and structure embedding","Deep neural networks are composed of layers of parametrised linear operations
intertwined with non linear activations. In basic models, such as the
multi-layer perceptron, a linear layer operates on a simple input vector
embedding of the instance being processed, and produces an output vector
embedding by straight multiplication by a matrix parameter. In more complex
models, the input and output are structured and their embeddings are higher
order tensors. The parameter of each linear operation must then be controlled
so as not to explode with the complexity of the structures involved. This is
essentially the role of convolution models, which exist in many flavours
dependent on the type of structure they deal with (grids, networks, time series
etc.). We present here a unified framework which aims at capturing the essence
of these diverse models, allowing a systematic analysis of their properties and
their mutual enrichment. We also show that attention models naturally fit in
the same framework: attention is convolution in which the structure itself is
adaptive, and learnt, instead of being given a priori."
['stat.ML'],Semi-supervised Learning Meets Factorization: Learning to Recommend with Chain Graph Model,"Recently latent factor model (LFM) has been drawing much attention in
recommender systems due to its good performance and scalability. However,
existing LFMs predict missing values in a user-item rating matrix only based on
the known ones, and thus the sparsity of the rating matrix always limits their
performance. Meanwhile, semi-supervised learning (SSL) provides an effective
way to alleviate the label (i.e., rating) sparsity problem by performing label
propagation, which is mainly based on the smoothness insight on affinity
graphs. However, graph-based SSL suffers serious scalability and graph
unreliable problems when directly being applied to do recommendation. In this
paper, we propose a novel probabilistic chain graph model (CGM) to marry SSL
with LFM. The proposed CGM is a combination of Bayesian network and Markov
random field. The Bayesian network is used to model the rating generation and
regression procedures, and the Markov random field is used to model the
confidence-aware smoothness constraint between the generated ratings.
Experimental results show that our proposed CGM significantly outperforms the
state-of-the-art approaches in terms of four evaluation metrics, and with a
larger performance margin when data sparsity increases."
['stat.ML'],Graphon Pooling in Graph Neural Networks,"Graph neural networks (GNNs) have been used effectively in different
applications involving the processing of signals on irregular structures
modeled by graphs. Relying on the use of shift-invariant graph filters, GNNs
extend the operation of convolution to graphs. However, the operations of
pooling and sampling are still not clearly defined and the approaches proposed
in the literature either modify the graph structure in a way that does not
preserve its spectral properties, or require defining a policy for selecting
which nodes to keep. In this work, we propose a new strategy for pooling and
sampling on GNNs using graphons which preserves the spectral properties of the
graph. To do so, we consider the graph layers in a GNN as elements of a
sequence of graphs that converge to a graphon. In this way we have no ambiguity
in the node labeling when mapping signals from one layer to the other and a
spectral representation that is consistent throughout the layers. We evaluate
this strategy in a synthetic and a real-world numerical experiment where we
show that graphon pooling GNNs are less prone to overfitting and improve upon
other pooling techniques, especially when the dimensionality reduction ratios
between layers is large."
['stat.ML'],Self-Supervised Graph Representation Learning via Global Context Prediction,"To take full advantage of fast-growing unlabeled networked data, this paper
introduces a novel self-supervised strategy for graph representation learning
by exploiting natural supervision provided by the data itself. Inspired by
human social behavior, we assume that the global context of each node is
composed of all nodes in the graph since two arbitrary entities in a connected
network could interact with each other via paths of varying length. Based on
this, we investigate whether the global context can be a source of free and
effective supervisory signals for learning useful node representations.
Specifically, we randomly select pairs of nodes in a graph and train a
well-designed neural net to predict the contextual position of one node
relative to the other. Our underlying hypothesis is that the representations
learned from such within-graph context would capture the global topology of the
graph and finely characterize the similarity and differentiation between nodes,
which is conducive to various downstream learning tasks. Extensive benchmark
experiments including node classification, clustering, and link prediction
demonstrate that our approach outperforms many state-of-the-art unsupervised
methods and sometimes even exceeds the performance of supervised counterparts."
['stat.ML'],Differentiable Causal Backdoor Discovery,"Discovering the causal effect of a decision is critical to nearly all forms
of decision-making. In particular, it is a key quantity in drug development, in
crafting government policy, and when implementing a real-world machine learning
system. Given only observational data, confounders often obscure the true
causal effect. Luckily, in some cases, it is possible to recover the causal
effect by using certain observed variables to adjust for the effects of
confounders. However, without access to the true causal model, finding this
adjustment requires brute-force search. In this work, we present an algorithm
that exploits auxiliary variables, similar to instruments, in order to find an
appropriate adjustment by a gradient-based optimization method. We demonstrate
that it outperforms practical alternatives in estimating the true causal
effect, without knowledge of the full causal graph."
['stat.ML'],Learn to Generate Time Series Conditioned Graphs with Generative Adversarial Nets,"Deep learning based approaches have been utilized to model and generate
graphs subjected to different distributions recently. However, they are
typically unsupervised learning based and unconditioned generative models or
simply conditioned on the graph-level contexts, which are not associated with
rich semantic node-level contexts. Differently, in this paper, we are
interested in a novel problem named Time Series Conditioned Graph Generation:
given an input multivariate time series, we aim to infer a target relation
graph modeling the underlying interrelationships between time series with each
node corresponding to each time series. For example, we can study the
interrelationships between genes in a gene regulatory network of a certain
disease conditioned on their gene expression data recorded as time series. To
achieve this, we propose a novel Time Series conditioned Graph
Generation-Generative Adversarial Networks (TSGG-GAN) to handle challenges of
rich node-level context structures conditioning and measuring similarities
directly between graphs and time series. Extensive experiments on synthetic and
real-word gene regulatory networks datasets demonstrate the effectiveness and
generalizability of the proposed TSGG-GAN."
['stat.ML'],Learning Context-aware Task Reasoning for Efficient Meta-reinforcement Learning,"Despite recent success of deep network-based Reinforcement Learning (RL), it
remains elusive to achieve human-level efficiency in learning novel tasks.
While previous efforts attempt to address this challenge using meta-learning
strategies, they typically suffer from sampling inefficiency with on-policy RL
algorithms or meta-overfitting with off-policy learning. In this work, we
propose a novel meta-RL strategy to address those limitations. In particular,
we decompose the meta-RL problem into three sub-tasks, task-exploration,
task-inference and task-fulfillment, instantiated with two deep network agents
and a task encoder. During meta-training, our method learns a task-conditioned
actor network for task-fulfillment, an explorer network with a self-supervised
reward shaping that encourages task-informative experiences in
task-exploration, and a context-aware graph-based task encoder for task
inference. We validate our approach with extensive experiments on several
public benchmarks and the results show that our algorithm effectively performs
exploration for task inference, improves sample efficiency during both training
and testing, and mitigates the meta-overfitting problem."
['stat.ML'],Heterogeneous Graph Transformer,"Recent years have witnessed the emerging success of graph neural networks
(GNNs) for modeling structured data. However, most GNNs are designed for
homogeneous graphs, in which all nodes and edges belong to the same types,
making them infeasible to represent heterogeneous structures. In this paper, we
present the Heterogeneous Graph Transformer (HGT) architecture for modeling
Web-scale heterogeneous graphs. To model heterogeneity, we design node- and
edge-type dependent parameters to characterize the heterogeneous attention over
each edge, empowering HGT to maintain dedicated representations for different
types of nodes and edges. To handle dynamic heterogeneous graphs, we introduce
the relative temporal encoding technique into HGT, which is able to capture the
dynamic structural dependency with arbitrary durations. To handle Web-scale
graph data, we design the heterogeneous mini-batch graph sampling
algorithm---HGSampling---for efficient and scalable training. Extensive
experiments on the Open Academic Graph of 179 million nodes and 2 billion edges
show that the proposed HGT model consistently outperforms all the
state-of-the-art GNN baselines by 9%--21% on various downstream tasks."
['stat.ML'],Semiparametric Nonlinear Bipartite Graph Representation Learning with Provable Guarantees,"Graph representation learning is a ubiquitous task in machine learning where
the goal is to embed each vertex into a low-dimensional vector space. We
consider the bipartite graph and formalize its representation learning problem
as a statistical estimation problem of parameters in a semiparametric
exponential family distribution. The bipartite graph is assumed to be generated
by a semiparametric exponential family distribution, whose parametric component
is given by the proximity of outputs of two one-layer neural networks, while
nonparametric (nuisance) component is the base measure. Neural networks take
high-dimensional features as inputs and output embedding vectors. In this
setting, the representation learning problem is equivalent to recovering the
weight matrices. The main challenges of estimation arise from the nonlinearity
of activation functions and the nonparametric nuisance component of the
distribution. To overcome these challenges, we propose a pseudo-likelihood
objective based on the rank-order decomposition technique and focus on its
local geometry. We show that the proposed objective is strongly convex in a
neighborhood around the ground truth, so that a gradient descent-based method
achieves linear convergence rate. Moreover, we prove that the sample complexity
of the problem is linear in dimensions (up to logarithmic factors), which is
consistent with parametric Gaussian models. However, our estimator is robust to
any model misspecification within the exponential family, which is validated in
extensive experiments."
['stat.ML'],EvoNet: A Neural Network for Predicting the Evolution of Dynamic Graphs,"Neural networks for structured data like graphs have been studied extensively
in recent years. To date, the bulk of research activity has focused mainly on
static graphs. However, most real-world networks are dynamic since their
topology tends to change over time. Predicting the evolution of dynamic graphs
is a task of high significance in the area of graph mining. Despite its
practical importance, the task has not been explored in depth so far, mainly
due to its challenging nature. In this paper, we propose a model that predicts
the evolution of dynamic graphs. Specifically, we use a graph neural network
along with a recurrent architecture to capture the temporal evolution patterns
of dynamic graphs. Then, we employ a generative model which predicts the
topology of the graph at the next time step and constructs a graph instance
that corresponds to that topology. We evaluate the proposed model on several
artificial datasets following common network evolving dynamics, as well as on
real-world datasets. Results demonstrate the effectiveness of the proposed
model."
['stat.ML'],Permutation Invariant Graph Generation via Score-Based Generative Modeling,"Learning generative models for graph-structured data is challenging because
graphs are discrete, combinatorial, and the underlying data distribution is
invariant to the ordering of nodes. However, most of the existing generative
models for graphs are not invariant to the chosen ordering, which might lead to
an undesirable bias in the learned distribution. To address this difficulty, we
propose a permutation invariant approach to modeling graphs, using the recent
framework of score-based generative modeling. In particular, we design a
permutation equivariant, multi-channel graph neural network to model the
gradient of the data distribution at the input graph (a.k.a., the score
function). This permutation equivariant model of gradients implicitly defines a
permutation invariant distribution for graphs. We train this graph neural
network with score matching and sample from it with annealed Langevin dynamics.
In our experiments, we first demonstrate the capacity of this new architecture
in learning discrete graph algorithms. For graph generation, we find that our
learning approach achieves better or comparable results to existing models on
benchmark datasets."
['stat.ML'],Meta-Graph: Few Shot Link Prediction via Meta Learning,"We consider the task of few shot link prediction on graphs. The goal is to
learn from a distribution over graphs so that a model is able to quickly infer
missing edges in a new graph after a small amount of training. We show that
current link prediction methods are generally ill-equipped to handle this task.
They cannot effectively transfer learned knowledge from one graph to another
and are unable to effectively learn from sparse samples of edges. To address
this challenge, we introduce a new gradient-based meta learning framework,
Meta-Graph. Our framework leverages higher-order gradients along with a learned
graph signature function that conditionally generates a graph neural network
initialization. Using a novel set of few shot link prediction benchmarks, we
show that Meta-Graph can learn to quickly adapt to a new graph using only a
small sample of true edges, enabling not only fast adaptation but also improved
results at convergence."
['stat.ML'],SimGNN: A Neural Network Approach to Fast Graph Similarity Computation,"Graph similarity search is among the most important graph-based applications,
e.g. finding the chemical compounds that are most similar to a query compound.
Graph similarity computation, such as Graph Edit Distance (GED) and Maximum
Common Subgraph (MCS), is the core operation of graph similarity search and
many other applications, but very costly to compute in practice. Inspired by
the recent success of neural network approaches to several graph applications,
such as node or graph classification, we propose a novel neural network based
approach to address this classic yet challenging graph problem, aiming to
alleviate the computational burden while preserving a good performance.
  The proposed approach, called SimGNN, combines two strategies. First, we
design a learnable embedding function that maps every graph into a vector,
which provides a global summary of a graph. A novel attention mechanism is
proposed to emphasize the important nodes with respect to a specific similarity
metric. Second, we design a pairwise node comparison method to supplement the
graph-level embeddings with fine-grained node-level information. Our model
achieves better generalization on unseen graphs, and in the worst case runs in
quadratic time with respect to the number of nodes in two graphs. Taking GED
computation as an example, experimental results on three real graph datasets
demonstrate the effectiveness and efficiency of our approach. Specifically, our
model achieves smaller error rate and great time reduction compared against a
series of baselines, including several approximation algorithms on GED
computation, and many existing graph neural network based models. To the best
of our knowledge, we are among the first to adopt neural networks to explicitly
model the similarity between two graphs, and provide a new direction for future
research on graph similarity computation and graph similarity search."
['stat.ML'],Ego-based Entropy Measures for Structural Representations,"In complex networks, nodes that share similar structural characteristics
often exhibit similar roles (e.g type of users in a social network or the
hierarchical position of employees in a company). In order to leverage this
relationship, a growing literature proposed latent representations that
identify structurally equivalent nodes. However, most of the existing methods
require high time and space complexity. In this paper, we propose VNEstruct, a
simple approach for generating low-dimensional structural node embeddings, that
is both time efficient and robust to perturbations of the graph structure. The
proposed approach focuses on the local neighborhood of each node and employs
the Von Neumann entropy, an information-theoretic tool, to extract features
that capture the neighborhood's topology. Moreover, on graph classification
tasks, we suggest the utilization of the generated structural embeddings for
the transformation of an attributed graph structure into a set of augmented
node attributes. Empirically, we observe that the proposed approach exhibits
robustness on structural role identification tasks and state-of-the-art
performance on graph classification tasks, while maintaining very high
computational speed."
['stat.ML'],From Node Embedding To Community Embedding : A Hyperbolic Approach,"Detecting communities on graphs has received significant interest in recent
literature. Current state-of-the-art community embedding approach called
\textit{ComE} tackles this problem by coupling graph embedding with community
detection. Considering the success of hyperbolic representations of
graph-structured data in last years, an ongoing challenge is to set up a
hyperbolic approach for the community detection problem. The present paper
meets this challenge by introducing a Riemannian equivalent of \textit{ComE}.
Our proposed approach combines hyperbolic embeddings with Riemannian K-means or
Riemannian mixture models to perform community detection. We illustrate the
usefulness of this framework through several experiments on real-world social
networks and comparisons with \textit{ComE} and recent hyperbolic-based
classification approaches."
['stat.ML'],Towards a predictive spatio-temporal representation of brain data,"The characterisation of the brain as a ""connectome"", in which the connections
are represented by correlational values across timeseries and as summary
measures derived from graph theory analyses, has been very popular in the last
years. However, although this representation has advanced our understanding of
the brain function, it may represent an oversimplified model. This is because
the typical fMRI datasets are constituted by complex and highly heterogeneous
timeseries that vary across space (i.e., location of brain regions). We compare
various modelling techniques from deep learning and geometric deep learning to
pave the way for future research in effectively leveraging the rich spatial and
temporal domains of typical fMRI datasets, as well as of other similar
datasets. As a proof-of-concept, we compare our approaches in the homogeneous
and publicly available Human Connectome Project (HCP) dataset on a supervised
binary classification task. We hope that our methodological advances relative
to previous ""connectomic"" measures can ultimately be clinically and
computationally relevant by leading to a more nuanced understanding of the
brain dynamics in health and disease. Such understanding of the brain can
fundamentally reduce the constant specialised clinical expertise in order to
accurately understand brain variability."
['stat.ML'],Query2box: Reasoning over Knowledge Graphs in Vector Space using Box Embeddings,"Answering complex logical queries on large-scale incomplete knowledge graphs
(KGs) is a fundamental yet challenging task. Recently, a promising approach to
this problem has been to embed KG entities as well as the query into a vector
space such that entities that answer the query are embedded close to the query.
However, prior work models queries as single points in the vector space, which
is problematic because a complex query represents a potentially large set of
its answer entities, but it is unclear how such a set can be represented as a
single point. Furthermore, prior work can only handle queries that use
conjunctions ($\wedge$) and existential quantifiers ($\exists$). Handling
queries with logical disjunctions ($\vee$) remains an open problem. Here we
propose query2box, an embedding-based framework for reasoning over arbitrary
queries with $\wedge$, $\vee$, and $\exists$ operators in massive and
incomplete KGs. Our main insight is that queries can be embedded as boxes
(i.e., hyper-rectangles), where a set of points inside the box corresponds to a
set of answer entities of the query. We show that conjunctions can be naturally
represented as intersections of boxes and also prove a negative result that
handling disjunctions would require embedding with dimension proportional to
the number of KG entities. However, we show that by transforming queries into a
Disjunctive Normal Form, query2box is capable of handling arbitrary logical
queries with $\wedge$, $\vee$, $\exists$ in a scalable manner. We demonstrate
the effectiveness of query2box on three large KGs and show that query2box
achieves up to 25% relative improvement over the state of the art."
['stat.ML'],Rep the Set: Neural Networks for Learning Set Representations,"In several domains, data objects can be decomposed into sets of simpler
objects. It is then natural to represent each object as the set of its
components or parts. Many conventional machine learning algorithms are unable
to process this kind of representations, since sets may vary in cardinality and
elements lack a meaningful ordering. In this paper, we present a new neural
network architecture, called RepSet, that can handle examples that are
represented as sets of vectors. The proposed model computes the correspondences
between an input set and some hidden sets by solving a series of network flow
problems. This representation is then fed to a standard neural network
architecture to produce the output. The architecture allows end-to-end
gradient-based learning. We demonstrate RepSet on classification tasks,
including text categorization, and graph classification, and we show that the
proposed neural network achieves performance better or comparable to
state-of-the-art algorithms."
['stat.ML'],A Deep Generative Model for Fragment-Based Molecule Generation,"Molecule generation is a challenging open problem in cheminformatics.
Currently, deep generative approaches addressing the challenge belong to two
broad categories, differing in how molecules are represented. One approach
encodes molecular graphs as strings of text, and learns their corresponding
character-based language model. Another, more expressive, approach operates
directly on the molecular graph. In this work, we address two limitations of
the former: generation of invalid and duplicate molecules. To improve validity
rates, we develop a language model for small molecular substructures called
fragments, loosely inspired by the well-known paradigm of Fragment-Based Drug
Design. In other words, we generate molecules fragment by fragment, instead of
atom by atom. To improve uniqueness rates, we present a frequency-based masking
strategy that helps generate molecules with infrequent fragments. We show
experimentally that our model largely outperforms other language model-based
competitors, reaching state-of-the-art performances typical of graph-based
approaches. Moreover, generated molecules display molecular properties similar
to those in the training sample, even in absence of explicit task-specific
supervision."
['stat.ML'],AutoSF: Searching Scoring Functions for Knowledge Graph Embedding,"Scoring functions (SFs), which measure the plausibility of triplets in
knowledge graph (KG), have become the crux of KG embedding. Lots of SFs, which
target at capturing different kinds of relations in KGs, have been designed by
humans in recent years. However, as relations can exhibit complex patterns that
are hard to infer before training, none of them can consistently perform better
than others on existing benchmark data sets. In this paper, inspired by the
recent success of automated machine learning (AutoML), we propose to
automatically design SFs (AutoSF) for distinct KGs by the AutoML techniques.
However, it is non-trivial to explore domain-specific information here to make
AutoSF efficient and effective. We firstly identify a unified representation
over popularly used SFs, which helps to set up a search space for AutoSF. Then,
we propose a greedy algorithm to search in such a space efficiently. The
algorithm is further sped up by a filter and a predictor, which can avoid
repeatedly training SFs with same expressive ability and help removing bad
candidates during the search before model training. Finally, we perform
extensive experiments on benchmark data sets. Results on link prediction and
triplets classification show that the searched SFs by AutoSF, are KG dependent,
new to the literature, and outperform the state-of-the-art SFs designed by
humans."
['stat.ML'],Advances in Collaborative Filtering and Ranking,"In this dissertation, we cover some recent advances in collaborative
filtering and ranking. In chapter 1, we give a brief introduction of the
history and the current landscape of collaborative filtering and ranking;
chapter 2 we first talk about pointwise collaborative filtering problem with
graph information, and how our proposed new method can encode very deep graph
information which helps four existing graph collaborative filtering algorithms;
chapter 3 is on the pairwise approach for collaborative ranking and how we
speed up the algorithm to near-linear time complexity; chapter 4 is on the new
listwise approach for collaborative ranking and how the listwise approach is a
better choice of loss for both explicit and implicit feedback over pointwise
and pairwise loss; chapter 5 is about the new regularization technique
Stochastic Shared Embeddings (SSE) we proposed for embedding layers and how it
is both theoretically sound and empirically effectively for 6 different tasks
across recommendation and natural language processing; chapter 6 is how we
introduce personalization for the state-of-the-art sequential recommendation
model with the help of SSE, which plays an important role in preventing our
personalized model from overfitting to the training data; chapter 7, we
summarize what we have achieved so far and predict what the future directions
can be; chapter 8 is the appendix to all the chapters."
['stat.ML'],Heterogeneous Graph Neural Networks for Malicious Account Detection,"We present, GEM, the first heterogeneous graph neural network approach for
detecting malicious accounts at Alipay, one of the world's leading mobile
cashless payment platform. Our approach, inspired from a connected subgraph
approach, adaptively learns discriminative embeddings from heterogeneous
account-device graphs based on two fundamental weaknesses of attackers, i.e.
device aggregation and activity aggregation. For the heterogeneous graph
consists of various types of nodes, we propose an attention mechanism to learn
the importance of different types of nodes, while using the sum operator for
modeling the aggregation patterns of nodes in each type. Experiments show that
our approaches consistently perform promising results compared with competitive
methods over time."
['stat.ML'],Few-Shot Learning on Graphs via Super-Classes based on Graph Spectral Measures,"We propose to study the problem of few shot graph classification in graph
neural networks (GNNs) to recognize unseen classes, given limited labeled graph
examples. Despite several interesting GNN variants being proposed recently for
node and graph classification tasks, when faced with scarce labeled examples in
the few shot setting, these GNNs exhibit significant loss in classification
performance. Here, we present an approach where a probability measure is
assigned to each graph based on the spectrum of the graphs normalized
Laplacian. This enables us to accordingly cluster the graph base labels
associated with each graph into super classes, where the Lp Wasserstein
distance serves as our underlying distance metric. Subsequently, a super graph
constructed based on the super classes is then fed to our proposed GNN
framework which exploits the latent inter class relationships made explicit by
the super graph to achieve better class label separation among the graphs. We
conduct exhaustive empirical evaluations of our proposed method and show that
it outperforms both the adaptation of state of the art graph classification
methods to few shot scenario and our naive baseline GNNs. Additionally, we also
extend and study the behavior of our method to semi supervised and active
learning scenarios."
['stat.ML'],Semi-supervised Anomaly Detection on Attributed Graphs,"We propose a simple yet effective method for detecting anomalous instances on
an attribute graph with label information of a small number of instances.
Although with standard anomaly detection methods it is usually assumed that
instances are independent and identically distributed, in many real-world
applications, instances are often explicitly connected with each other,
resulting in so-called attributed graphs. The proposed method embeds nodes
(instances) on the attributed graph in the latent space by taking into account
their attributes as well as the graph structure based on graph convolutional
networks (GCNs). To learn node embeddings specialized for anomaly detection, in
which there is a class imbalance due to the rarity of anomalies, the parameters
of a GCN are trained to minimize the volume of a hypersphere that encloses the
node embeddings of normal instances while embedding anomalous ones outside the
hypersphere. This enables us to detect anomalies by simply calculating the
distances between the node embeddings and hypersphere center. The proposed
method can effectively propagate label information on a small amount of nodes
to unlabeled ones by taking into account the node's attributes, graph
structure, and class imbalance. In experiments with five real-world attributed
graph datasets, we demonstrate that the proposed method achieves better
performance than various existing anomaly detection methods."
['stat.ML'],GraphAF: a Flow-based Autoregressive Model for Molecular Graph Generation,"Molecular graph generation is a fundamental problem for drug discovery and
has been attracting growing attention. The problem is challenging since it
requires not only generating chemically valid molecular structures but also
optimizing their chemical properties in the meantime. Inspired by the recent
progress in deep generative models, in this paper we propose a flow-based
autoregressive model for graph generation called GraphAF. GraphAF combines the
advantages of both autoregressive and flow-based approaches and enjoys: (1)
high model flexibility for data density estimation; (2) efficient parallel
computation for training; (3) an iterative sampling process, which allows
leveraging chemical domain knowledge for valency checking. Experimental results
show that GraphAF is able to generate 68% chemically valid molecules even
without chemical knowledge rules and 100% valid molecules with chemical rules.
The training process of GraphAF is two times faster than the existing
state-of-the-art approach GCPN. After fine-tuning the model for goal-directed
property optimization with reinforcement learning, GraphAF achieves
state-of-the-art performance on both chemical property optimization and
constrained property optimization."
['stat.ML'],Kernel Bi-Linear Modeling for Reconstructing Data on Manifolds: The Dynamic-MRI Case,"This paper establishes a kernel-based framework for reconstructing data on
manifolds, tailored to fit the dynamic-(d)MRI-data recovery problem. The
proposed methodology exploits simple tangent-space geometries of manifolds in
reproducing kernel Hilbert spaces and follows classical kernel-approximation
arguments to form the data-recovery task as a bi-linear inverse problem.
Departing from mainstream approaches, the proposed methodology uses no training
data, employs no graph Laplacian matrix to penalize the optimization task, uses
no costly (kernel) pre-imaging step to map feature points back to the input
space, and utilizes complex-valued kernel functions to account for k-space
data. The framework is validated on synthetically generated dMRI data, where
comparisons against state-of-the-art schemes highlight the rich potential of
the proposed approach in data-recovery problems."
